Date,Open,High,Low,Close,Adj Close,Volume
2016-01-21,4.900000,5.200000,4.740000,5.020000,5.020000,488200
2016-01-22,5.090000,5.330000,5.030000,5.300000,5.300000,493900
2016-01-25,5.250000,5.350000,5.010000,5.050000,5.050000,363400
2016-01-26,5.090000,5.300000,5.000000,5.220000,5.220000,438500
2016-01-27,5.260000,5.410000,5.150000,5.230000,5.230000,396400
2016-01-28,5.330000,5.400000,5.120000,5.210000,5.210000,464100
2016-01-29,5.210000,5.490000,5.190000,5.330000,5.330000,550400
2016-02-01,5.400000,5.580000,5.150000,5.280000,5.280000,581000
2016-02-02,5.250000,5.250000,5.000000,5.060000,5.060000,539500
2016-02-03,5.080000,5.150000,4.840000,5.090000,5.090000,362000
2016-02-04,5.030000,5.390000,5.020000,5.190000,5.190000,393100
2016-02-05,5.110000,5.240000,4.800000,5.070000,5.070000,448700
2016-02-08,5.000000,5.000000,4.810000,4.930000,4.930000,435100
2016-02-09,4.900000,4.930000,4.730000,4.810000,4.810000,364300
2016-02-10,4.800000,5.000000,4.750000,4.780000,4.780000,251100
2016-02-11,4.810000,4.870000,4.600000,4.700000,4.700000,352000
2016-02-12,4.810000,4.840000,4.560000,4.780000,4.780000,369900
2016-02-16,4.880000,5.000000,4.760000,4.980000,4.980000,265700
2016-02-17,5.000000,5.240000,4.990000,5.170000,5.170000,476200
2016-02-18,5.200000,5.260000,4.950000,5.170000,5.170000,298400
2016-02-19,5.150000,5.150000,4.890000,4.970000,4.970000,287800
2016-02-22,5.060000,5.180000,5.000000,5.140000,5.140000,432000
2016-02-23,5.000000,5.100000,4.900000,4.930000,4.930000,366200
2016-02-24,4.900000,5.150000,4.800000,5.120000,5.120000,313000
2016-02-25,5.070000,5.100000,4.940000,5.020000,5.020000,318200
2016-02-26,5.030000,5.420000,4.950000,5.340000,5.340000,660200
2016-02-29,5.340000,5.920000,5.320000,5.710000,5.710000,1144900
2016-03-01,5.800000,5.810000,5.470000,5.630000,5.630000,608400
2016-03-02,5.510000,6.090000,5.500000,6.020000,6.020000,736300
2016-03-03,6.020000,6.690000,5.950000,6.450000,6.450000,831400
2016-03-04,6.510000,6.870000,6.330000,6.390000,6.390000,833900
2016-03-07,6.460000,6.800000,6.460000,6.800000,6.800000,681400
2016-03-08,6.820000,6.900000,6.260000,6.410000,6.410000,959300
2016-03-09,6.850000,7.100000,6.500000,7.070000,7.070000,1408700
2016-03-10,6.380000,7.000000,6.120000,6.210000,6.210000,1507500
2016-03-11,6.300000,6.360000,6.100000,6.360000,6.360000,568400
2016-03-14,6.500000,7.430000,6.420000,7.240000,7.240000,1663600
2016-03-15,7.270000,7.400000,6.820000,7.070000,7.070000,649300
2016-03-16,7.080000,7.450000,7.010000,7.200000,7.200000,636500
2016-03-17,7.220000,7.750000,7.220000,7.720000,7.720000,913500
2016-03-18,7.830000,8.080000,7.760000,7.990000,7.990000,1100900
2016-03-21,7.710000,7.850000,7.400000,7.550000,7.550000,804300
2016-03-22,7.480000,7.790000,7.410000,7.460000,7.460000,523300
2016-03-23,7.480000,7.640000,6.850000,6.850000,6.850000,849000
2016-03-24,6.800000,7.000000,6.520000,6.940000,6.940000,441500
2016-03-28,6.990000,7.100000,6.650000,6.770000,6.770000,389100
2016-03-29,6.710000,7.100000,6.520000,6.990000,6.990000,602300
2016-03-30,6.960000,7.070000,6.620000,6.720000,6.720000,352300
2016-03-31,6.630000,6.820000,6.530000,6.770000,6.770000,310600
2016-04-01,6.650000,6.660000,6.500000,6.560000,6.560000,291400
2016-04-04,6.520000,6.780000,6.500000,6.570000,6.570000,298900
2016-04-05,6.500000,6.650000,6.380000,6.550000,6.550000,410100
2016-04-06,6.510000,6.680000,6.400000,6.640000,6.640000,323000
2016-04-07,6.580000,6.680000,6.370000,6.440000,6.440000,246500
2016-04-08,6.480000,6.720000,6.380000,6.450000,6.450000,468500
2016-04-11,6.720000,6.820000,6.520000,6.710000,6.710000,580900
2016-04-12,6.800000,7.200000,6.620000,7.110000,7.110000,680500
2016-04-13,7.130000,7.350000,6.920000,7.250000,7.250000,498400
2016-04-14,7.100000,7.200000,7.010000,7.110000,7.110000,305400
2016-04-15,7.040000,7.050000,6.920000,6.960000,6.960000,252000
2016-04-18,6.880000,7.150000,6.710000,6.960000,6.960000,362000
2016-04-19,7.060000,7.100000,6.720000,6.820000,6.820000,427200
2016-04-20,6.790000,6.920000,6.720000,6.780000,6.780000,306000
2016-04-21,6.830000,6.960000,6.650000,6.730000,6.730000,320000
2016-04-22,6.700000,6.930000,6.650000,6.820000,6.820000,278800
2016-04-25,6.750000,6.880000,6.530000,6.580000,6.580000,332100
2016-04-26,6.550000,6.780000,6.550000,6.640000,6.640000,253100
2016-04-27,6.660000,6.720000,6.480000,6.530000,6.530000,307200
2016-04-28,6.470000,6.560000,6.320000,6.350000,6.350000,299100
2016-04-29,6.370000,6.420000,5.810000,5.960000,5.960000,773400
2016-05-02,5.960000,6.420000,5.850000,6.080000,6.080000,764700
2016-05-03,6.000000,6.100000,5.650000,5.680000,5.680000,558700
2016-05-04,5.600000,5.790000,5.380000,5.580000,5.580000,550400
2016-05-05,6.700000,6.730000,5.820000,5.890000,5.890000,2050200
2016-05-06,5.970000,6.080000,5.650000,5.690000,5.690000,617400
2016-05-09,5.830000,5.850000,5.550000,5.660000,5.660000,389000
2016-05-10,5.700000,5.960000,5.590000,5.960000,5.960000,473700
2016-05-11,6.010000,6.010000,5.810000,5.840000,5.840000,321600
2016-05-12,5.860000,6.000000,5.650000,5.860000,5.860000,401100
2016-05-13,5.800000,6.000000,5.700000,5.980000,5.980000,460100
2016-05-16,6.010000,6.250000,5.940000,6.210000,6.210000,551900
2016-05-17,6.240000,6.350000,6.100000,6.290000,6.290000,480900
2016-05-18,6.240000,6.260000,6.010000,6.090000,6.090000,312300
2016-05-19,6.030000,6.230000,5.880000,5.960000,5.960000,297400
2016-05-20,5.990000,6.250000,5.980000,6.180000,6.180000,325100
